2020-04-08 18:25:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	83.791, 	0.0007955, 	109.367671, 	0.691389%, 	0.460000%, 	0.231389%
2020-04-08 18:26:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	83.791, 	0.00079544, 	125.13625, 	0.698984%, 	0.460000%, 	0.238984%
2020-04-08 18:26:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079539, 	141.05002123, 	0.705314%, 	0.460000%, 	0.245314%
2020-04-08 18:26:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007949, 	81.3822173, 	0.641590%, 	0.460000%, 	0.181590%
2020-04-08 18:26:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079474, 	79.83822879, 	0.661852%, 	0.460000%, 	0.201852%
2020-04-08 18:27:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079444, 	981.34592, 	0.699864%, 	0.460000%, 	0.239864%
2020-04-08 18:27:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079405, 	80.0, 	0.749323%, 	0.460000%, 	0.289323%
2020-04-08 18:27:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079401, 	269.06800202, 	0.754399%, 	0.460000%, 	0.294399%
2020-04-08 18:27:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.000794, 	48.73535688, 	0.755668%, 	0.460000%, 	0.295668%
2020-04-08 18:28:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079401, 	55.31093021, 	0.754399%, 	0.460000%, 	0.294399%
2020-04-08 18:28:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079366, 	984.3137, 	0.798831%, 	0.460000%, 	0.338831%
2020-04-08 18:28:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079329, 	359.11871293, 	0.845845%, 	0.460000%, 	0.385845%
2020-04-08 18:28:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079329, 	29.92655941, 	0.845845%, 	0.460000%, 	0.385845%
2020-04-08 18:29:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079339, 	574.286435, 	0.959175%, 	0.460000%, 	0.499175%
2020-04-08 18:29:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079339, 	686.523197, 	0.959175%, 	0.460000%, 	0.499175%
2020-04-08 18:29:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	76.891, 	0.00079462, 	645.50348327, 	0.802899%, 	0.460000%, 	0.342899%
2020-04-08 18:29:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079452, 	373.061269, 	0.815587%, 	0.460000%, 	0.355587%
2020-04-08 18:30:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079441, 	468.68840049, 	0.829546%, 	0.460000%, 	0.369546%
2020-04-08 18:30:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079537, 	29.90168414, 	0.707847%, 	0.460000%, 	0.247847%
2020-04-08 18:30:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079552, 	48.62819808, 	0.688858%, 	0.460000%, 	0.228858%
2020-04-08 18:30:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079553, 	29.88896401, 	0.687592%, 	0.460000%, 	0.227592%
2020-04-08 18:31:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079553, 	29.88896401, 	0.687592%, 	0.460000%, 	0.227592%
2020-04-08 18:31:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079545, 	80.0, 	0.697718%, 	0.460000%, 	0.237718%
2020-04-08 18:31:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079529, 	63.65612652, 	0.717977%, 	0.460000%, 	0.257977%
2020-04-08 18:31:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079495, 	181.351134, 	0.761054%, 	0.460000%, 	0.301054%
2020-04-08 18:32:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079479, 	80.0, 	0.781338%, 	0.460000%, 	0.321338%
2020-04-08 18:32:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079454, 	538.552797, 	0.813049%, 	0.460000%, 	0.353049%
2020-04-08 18:32:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079426, 	68.45474831, 	0.848589%, 	0.460000%, 	0.388589%
2020-04-08 18:32:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079386, 	220.52754231, 	0.899403%, 	0.460000%, 	0.439403%
2020-04-08 18:33:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007938, 	169.620913, 	0.907029%, 	0.460000%, 	0.447029%
2020-04-08 18:33:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079374, 	107.207463, 	0.914657%, 	0.460000%, 	0.454657%
2020-04-08 18:33:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079365, 	316.211694, 	0.926101%, 	0.460000%, 	0.466101%
2020-04-08 18:33:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079355, 	485.386461, 	0.938819%, 	0.460000%, 	0.478819%
2020-04-08 18:34:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079355, 	105.4907, 	0.938819%, 	0.460000%, 	0.478819%
