2020-04-08 18:19:32, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	45.275, 	0.000797, 	111.97296623, 	1.003764%, 	0.760000%, 	0.243764%
2020-04-08 18:19:47, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	45.275, 	0.000797, 	111.85758491, 	1.003764%, 	0.760000%, 	0.243764%
2020-04-08 18:20:02, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	45.275, 	0.000797, 	111.87249923, 	1.003764%, 	0.760000%, 	0.243764%
2020-04-08 18:20:17, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	45.275, 	0.000798, 	81.906, 	0.877193%, 	0.760000%, 	0.117193%
2020-04-08 18:20:32, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	31.157, 	0.000796, 	112.03467942, 	1.005025%, 	0.760000%, 	0.245025%
2020-04-08 18:20:47, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	45.275, 	0.000796, 	112.03467942, 	1.130653%, 	0.760000%, 	0.370653%
2020-04-08 18:21:02, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	22.928, 	0.000798, 	471.0653624, 	0.877193%, 	0.760000%, 	0.117193%
2020-04-08 18:21:17, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	1.928, 	0.000796, 	112.01388784, 	1.130653%, 	0.760000%, 	0.370653%
2020-04-08 18:21:32, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	31.157, 	0.000797, 	111.99993217, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-08 18:21:47, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000801, 	29.2, 	0.000796, 	112.26438585, 	0.628141%, 	0.760000%, 	-0.131859%
2020-04-08 18:33:12, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000801, 	87.391, 	0.000794, 	114.78202426, 	0.881612%, 	0.760000%, 	0.121612%
2020-04-08 18:33:27, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000801, 	87.391, 	0.000794, 	114.78202426, 	0.881612%, 	0.760000%, 	0.121612%
2020-04-08 18:33:42, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000801, 	87.391, 	0.000794, 	114.78202426, 	0.881612%, 	0.760000%, 	0.121612%
2020-04-08 18:33:57, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000801, 	87.391, 	0.000794, 	1082.38202426, 	0.881612%, 	0.760000%, 	0.121612%
2020-04-08 18:34:12, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000801, 	87.391, 	0.000794, 	1082.38202426, 	0.881612%, 	0.760000%, 	0.121612%
2020-04-08 18:34:27, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.0008, 	80.725, 	0.000794, 	114.78202426, 	0.755668%, 	0.760000%, 	-0.004332%
2020-04-08 19:05:40, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	89.461, 	0.000791, 	165.48690761, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 19:05:55, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	87.51, 	0.000791, 	256.48690761, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 19:06:10, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	1.951, 	0.000791, 	256.48690761, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 19:06:25, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000797, 	28.854, 	0.000791, 	248.49390761, 	0.758534%, 	0.760000%, 	-0.001466%
2020-04-08 20:00:57, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.000789, 	1.67946078, 	0.887199%, 	0.760000%, 	0.127199%
2020-04-08 20:01:12, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.000789, 	1.67946078, 	0.887199%, 	0.760000%, 	0.127199%
2020-04-08 20:01:27, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.000789, 	116.71830226, 	0.887199%, 	0.760000%, 	0.127199%
2020-04-08 20:01:42, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.00079, 	197.93898783, 	0.759494%, 	0.760000%, 	-0.000506%
2020-04-08 20:20:45, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.000789, 	720.44762075, 	0.887199%, 	0.760000%, 	0.127199%
2020-04-08 20:21:00, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	84.266, 	0.000787, 	116.62992315, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:21:15, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	143.023, 	0.000787, 	116.90078351, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:21:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	84.266, 	0.000787, 	116.79856205, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:21:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	84.266, 	0.000787, 	116.79856205, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:22:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	84.266, 	0.000787, 	200.66656205, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:22:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.000787, 	200.66656205, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:22:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.000787, 	291.66656205, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:22:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	61.166, 	0.000787, 	195.10967854, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:23:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	25.166, 	0.000787, 	314.19055968, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:23:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	286.10967854, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:23:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000785, 	200.89469618, 	1.401274%, 	0.760000%, 	0.641274%
2020-04-08 20:23:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000785, 	116.93169618, 	1.401274%, 	0.760000%, 	0.641274%
2020-04-08 20:24:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	200.91116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:24:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	291.91116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:24:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	200.91116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:24:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	200.91116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:25:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	200.91116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:25:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	26.406, 	0.000787, 	117.16116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:25:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	26.406, 	0.000787, 	117.16116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:25:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	26.406, 	0.000787, 	117.16116025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:26:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	200.98016025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:26:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	200.98016025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:26:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	200.98016025, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:26:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000785, 	117.31707639, 	1.401274%, 	0.760000%, 	0.641274%
2020-04-08 20:27:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000785, 	201.24407639, 	1.401274%, 	0.760000%, 	0.641274%
2020-04-08 20:27:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	117.19317569, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:27:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	200.96783311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:27:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	200.96783311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:28:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	200.96783311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:28:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	200.97183311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:28:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	117.20383311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:28:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	200.97183311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:29:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	117.20383311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:29:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	200.93983311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:29:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000786, 	117.20383311, 	1.272265%, 	0.760000%, 	0.512265%
2020-04-08 20:29:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.41807244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:30:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.41807244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:30:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:30:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:30:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:31:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:31:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:31:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.46407244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:31:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.46407244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:32:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.46407244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:32:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	292.46407244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:32:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.46407244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:32:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.46407244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:33:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:33:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.34707244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:33:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	292.34707244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:33:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	292.34707244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:34:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	292.34707244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:34:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.34707244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:34:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:34:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:35:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:35:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:35:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:35:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:36:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:36:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:36:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.47007244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:36:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.47007244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:37:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.49207244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:37:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.49207244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:37:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.49207244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:37:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	201.49207244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:38:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:38:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
