2020-04-07 20:13:49, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5987.1, 	0.0451625, 	5958.2, 	0.00068107, 	0.485046%, 	0.460000%, 	0.025046%
2020-04-07 20:14:19, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5986.5, 	0.0872, 	5963.1, 	0.32541171, 	0.392413%, 	0.460000%, 	-0.067587%
2020-04-08 11:43:19, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5950.0, 	9.06311216, 	5917.8, 	15.96817737, 	0.544121%, 	0.460000%, 	0.084121%
2020-04-08 11:43:34, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5950.0, 	0.14484833, 	5917.8, 	20.63366166, 	0.544121%, 	0.460000%, 	0.084121%
2020-04-08 11:43:49, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5950.0, 	0.455, 	5910.5, 	8.10958156, 	0.668302%, 	0.460000%, 	0.208302%
2020-04-08 11:44:04, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5950.0, 	4.01646388, 	5910.5, 	13.68438156, 	0.668302%, 	0.460000%, 	0.208302%
2020-04-08 11:44:19, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5929.8, 	0.44097481, 	5902.1, 	0.24529476, 	0.469324%, 	0.460000%, 	0.009324%
2020-04-08 11:44:34, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5929.2, 	0.03157144, 	5902.1, 	15.90716621, 	0.459159%, 	0.460000%, 	-0.000841%
2020-04-08 12:21:51, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.0, 	0.23443089, 	5877.4, 	0.5, 	0.673767%, 	0.460000%, 	0.213767%
2020-04-08 12:22:06, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5906.0, 	0.00706166, 	5877.4, 	17.19695945, 	0.486610%, 	0.460000%, 	0.026610%
2020-04-08 12:22:21, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5906.3, 	0.25004672, 	5877.2, 	0.01646178, 	0.495134%, 	0.460000%, 	0.035134%
2020-04-08 12:22:36, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5906.8, 	1.9748, 	5878.3, 	0.01705974, 	0.484834%, 	0.460000%, 	0.024834%
2020-04-08 12:22:51, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5908.4, 	0.01704266, 	5884.5, 	0.27993944, 	0.406152%, 	0.460000%, 	-0.053848%
2020-04-08 12:43:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5912.1, 	0.23967549, 	5874.2, 	9.65984919, 	0.645194%, 	0.460000%, 	0.185194%
2020-04-08 12:44:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5912.7, 	0.67825666, 	5874.2, 	2.04594268, 	0.655408%, 	0.460000%, 	0.195408%
2020-04-08 12:44:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5913.4, 	3.14219912, 	5874.2, 	0.07519502, 	0.667325%, 	0.460000%, 	0.207325%
2020-04-08 12:44:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5913.5, 	0.68365666, 	5874.2, 	0.27519502, 	0.669027%, 	0.460000%, 	0.209027%
2020-04-08 12:44:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5913.5, 	0.83545395, 	5874.2, 	0.23516599, 	0.669027%, 	0.460000%, 	0.209027%
2020-04-08 12:45:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5913.7, 	16.83401537, 	5874.7, 	3.57449218, 	0.663864%, 	0.460000%, 	0.203864%
2020-04-08 12:45:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5914.7, 	16.12835937, 	5874.7, 	3.62087233, 	0.680886%, 	0.460000%, 	0.220886%
2020-04-08 12:45:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5915.2, 	20.35482692, 	5874.7, 	3.36567224, 	0.689397%, 	0.460000%, 	0.229397%
2020-04-08 12:45:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5915.7, 	20.84464579, 	5874.7, 	2.66790038, 	0.697908%, 	0.460000%, 	0.237908%
2020-04-08 12:46:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.2, 	14.76580357, 	5874.7, 	1.54108131, 	0.706419%, 	0.460000%, 	0.246419%
2020-04-08 12:46:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.3, 	4.10084072, 	5874.7, 	1.26778131, 	0.708121%, 	0.460000%, 	0.248121%
2020-04-08 12:46:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.3, 	10.61051791, 	5877.8, 	0.96438131, 	0.655007%, 	0.460000%, 	0.195007%
2020-04-08 12:46:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.9, 	19.09617101, 	5880.7, 	0.05664504, 	0.615573%, 	0.460000%, 	0.155573%
2020-04-08 12:47:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.3, 	21.09517101, 	5880.7, 	0.04294504, 	0.622375%, 	0.460000%, 	0.162375%
2020-04-08 12:47:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.7, 	0.15719729, 	5885.3, 	0.47614766, 	0.550524%, 	0.460000%, 	0.090524%
2020-04-08 12:47:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5918.1, 	0.7, 	5884.8, 	0.04280271, 	0.565865%, 	0.460000%, 	0.105865%
2020-04-08 12:47:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5918.4, 	0.7, 	5883.7, 	0.5, 	0.589765%, 	0.460000%, 	0.129765%
2020-04-08 12:48:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5918.5, 	0.15719729, 	5885.0, 	1.0, 	0.569244%, 	0.460000%, 	0.109244%
2020-04-08 12:48:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5918.9, 	0.7, 	5884.9, 	0.09340498, 	0.577750%, 	0.460000%, 	0.117750%
2020-04-08 12:48:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.7, 	0.7, 	5884.8, 	0.45074766, 	0.593053%, 	0.460000%, 	0.133053%
2020-04-08 12:48:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.9, 	4.22581489, 	5884.9, 	0.04560227, 	0.594742%, 	0.460000%, 	0.134742%
2020-04-08 12:49:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5921.2, 	0.67296819, 	5892.4, 	12.83429998, 	0.488765%, 	0.460000%, 	0.028765%
2020-04-08 12:49:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5922.0, 	0.706, 	5892.0, 	0.76897802, 	0.509165%, 	0.460000%, 	0.049165%
