2020-04-08 19:54:02, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.06729646, 	1.02013, 	107.884, 	0.706773%, 	0.510000%, 	0.196773%
2020-04-08 19:54:17, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	964.0779152, 	1.02013, 	107.884, 	0.706773%, 	0.510000%, 	0.196773%
2020-04-08 19:54:32, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02013, 	107.884, 	0.706773%, 	0.510000%, 	0.196773%
2020-04-08 19:54:47, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02034, 	107.884, 	0.686046%, 	0.510000%, 	0.176046%
2020-04-08 19:55:02, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02034, 	107.884, 	0.686046%, 	0.510000%, 	0.176046%
2020-04-08 19:55:17, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02034, 	107.884, 	0.686046%, 	0.510000%, 	0.176046%
2020-04-08 19:55:32, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02019, 	107.872, 	0.700850%, 	0.510000%, 	0.190850%
2020-04-08 19:55:47, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.0201, 	107.882, 	0.709734%, 	0.510000%, 	0.199734%
2020-04-08 19:56:02, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02007, 	107.886, 	0.712696%, 	0.510000%, 	0.202696%
2020-04-08 19:56:17, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02016, 	107.886, 	0.703811%, 	0.510000%, 	0.193811%
2020-04-08 19:56:32, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02016, 	107.886, 	0.703811%, 	0.510000%, 	0.193811%
2020-04-08 19:56:47, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02016, 	107.886, 	0.703811%, 	0.510000%, 	0.193811%
2020-04-08 19:57:02, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	482.01061874, 	1.02016, 	107.886, 	0.703811%, 	0.510000%, 	0.193811%
2020-04-08 19:57:17, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	963.97070082, 	1.02016, 	107.886, 	0.703811%, 	0.510000%, 	0.193811%
2020-04-08 19:57:32, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	963.97070082, 	1.02016, 	107.886, 	0.703811%, 	0.510000%, 	0.193811%
2020-04-08 19:57:47, 	Bittrex     , 	Kraken      , 	DAI/USDT, 	1.02734, 	963.97070082, 	1.02016, 	107.886, 	0.703811%, 	0.510000%, 	0.193811%
