2020-04-08 22:03:19, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6061, 	82.03, 	0.604, 	1360.2803, 	0.347682%, 	0.250000%, 	0.097682%
2020-04-08 22:03:34, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6061, 	82.03, 	0.604, 	1360.2803, 	0.347682%, 	0.250000%, 	0.097682%
2020-04-08 22:03:49, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6063, 	93.4, 	0.604, 	1360.2803, 	0.380795%, 	0.250000%, 	0.130795%
2020-04-08 22:04:04, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6063, 	76.78, 	0.604, 	1360.2803, 	0.380795%, 	0.250000%, 	0.130795%
2020-04-08 22:04:19, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6063, 	76.78, 	0.604, 	1360.2803, 	0.380795%, 	0.250000%, 	0.130795%
2020-04-08 22:04:34, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6063, 	76.78, 	0.604, 	1360.2803, 	0.380795%, 	0.250000%, 	0.130795%
2020-04-08 22:04:49, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6065, 	16.62, 	0.604, 	1360.2803, 	0.413907%, 	0.250000%, 	0.163907%
2020-04-08 22:05:04, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6065, 	16.62, 	0.604, 	1360.2803, 	0.413907%, 	0.250000%, 	0.163907%
2020-04-08 22:05:19, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6065, 	16.62, 	0.604, 	1360.2803, 	0.413907%, 	0.250000%, 	0.163907%
2020-04-08 22:05:34, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6065, 	134.98, 	0.604, 	1360.2803, 	0.413907%, 	0.250000%, 	0.163907%
2020-04-08 22:05:49, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6066, 	76.3, 	0.604, 	1360.2803, 	0.430464%, 	0.250000%, 	0.180464%
2020-04-08 22:06:04, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6066, 	76.3, 	0.604, 	1108.9962, 	0.430464%, 	0.250000%, 	0.180464%
2020-04-08 22:06:19, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6066, 	76.3, 	0.604, 	1085.5215, 	0.430464%, 	0.250000%, 	0.180464%
2020-04-08 22:06:34, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6066, 	76.3, 	0.604, 	854.9371, 	0.430464%, 	0.250000%, 	0.180464%
2020-04-08 22:06:49, 	Binance     , 	OKEX        , 	NANO/USDT, 	0.6066, 	76.3, 	0.604, 	854.9371, 	0.430464%, 	0.250000%, 	0.180464%
