2020-04-07 20:31:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:31:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:32:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:32:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:33:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:33:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:34:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:34:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:35:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:35:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:36:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:36:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:37:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:37:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:38:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:38:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:39:02, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:39:32, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:58:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:59:09, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 20:59:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:00:09, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:00:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:01:09, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:01:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:02:09, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:02:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	11.88798, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:03:09, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	10.0, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:03:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	183.08728706, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:04:09, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:04:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	180.29561, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:05:09, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	180.29561, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:05:39, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:07:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:08:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:08:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:09:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
