2020-04-07 22:27:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.30890484, 	0.03367282, 	54.26, 	0.0775, 	1.933109%, 	0.400000%, 	1.533109%
2020-04-07 22:27:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.30890484, 	0.03367282, 	54.26, 	0.0775, 	1.933109%, 	0.400000%, 	1.533109%
2020-04-07 22:28:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.30890484, 	0.03367282, 	54.26, 	0.0775, 	1.933109%, 	0.400000%, 	1.533109%
2020-04-07 22:28:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.35676058, 	0.03364371, 	54.26, 	0.0775, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:29:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.35676058, 	0.03364371, 	54.26, 	0.0775, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:29:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.55794306, 	0.03352189, 	54.26, 	34.0034995, 	2.392081%, 	0.400000%, 	1.992081%
2020-04-07 22:30:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.55794306, 	0.03352189, 	54.26, 	6.0, 	2.392081%, 	0.400000%, 	1.992081%
2020-04-07 22:30:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.3567607, 	101.9487047, 	54.26, 	4.504, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:31:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.35676072, 	97.38828, 	54.26, 	95.3811273, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:31:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.35676075, 	96.798048, 	54.26, 	97.88014, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:32:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.35676079, 	9.65398351, 	54.26, 	93.37060243, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:32:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.35676081, 	102.63863551, 	54.26, 	4.498, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:33:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.35676087, 	7.05198351, 	54.26, 	47.50478396, 	2.021306%, 	0.400000%, 	1.621306%
2020-04-07 22:33:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.3863506, 	9.64698351, 	54.26, 	48.44885723, 	2.075840%, 	0.400000%, 	1.675840%
2020-04-07 22:34:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.38635068, 	9.64698351, 	54.26, 	4.495, 	2.075840%, 	0.400000%, 	1.675840%
2020-04-07 22:34:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.44579194, 	5.15800251, 	54.26, 	4.493, 	2.185389%, 	0.400000%, 	1.785389%
2020-04-07 22:35:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.48704763, 	2.13547288, 	54.26, 	9.8950876, 	2.261422%, 	0.400000%, 	1.861422%
2020-04-07 22:35:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.48704763, 	7.29343548, 	54.26, 	97.191536, 	2.261422%, 	0.400000%, 	1.861422%
2020-04-07 22:36:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.48704764, 	65.1586278, 	54.26, 	97.978512, 	2.261422%, 	0.400000%, 	1.861422%
2020-04-07 22:36:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.66140808, 	96.699676, 	54.26, 	9.1942632, 	2.582765%, 	0.400000%, 	2.182765%
2020-04-07 22:37:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.6614081, 	65.1579626, 	54.26, 	101.36245517, 	2.582765%, 	0.400000%, 	2.182765%
2020-04-07 22:37:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.66140811, 	9.62730351, 	54.26, 	6.0, 	2.582765%, 	0.400000%, 	2.182765%
2020-04-07 22:38:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.66140811, 	9.62730351, 	54.26, 	96.89642, 	2.582765%, 	0.400000%, 	2.182765%
2020-04-07 22:38:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.66140813, 	5.153311, 	54.26, 	4.472, 	2.582765%, 	0.400000%, 	2.182765%
2020-04-07 22:39:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.66140816, 	96.306188, 	54.26, 	96.306188, 	2.582765%, 	0.400000%, 	2.182765%
2020-04-07 22:39:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.70113219, 	7.04734268, 	54.26, 	43.7493513, 	2.655975%, 	0.400000%, 	2.255975%
2020-04-07 22:40:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.7011322, 	9.61898351, 	54.26, 	4.465, 	2.655975%, 	0.400000%, 	2.255975%
2020-04-07 22:40:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.73222196, 	9.61234268, 	54.26, 	4.465, 	2.713273%, 	0.400000%, 	2.313273%
2020-04-07 22:41:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.75719673, 	0.2142746, 	54.26, 	4.465, 	2.759301%, 	0.400000%, 	2.359301%
2020-04-07 22:41:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.75719673, 	0.2142746, 	54.26, 	42.896779, 	2.759301%, 	0.400000%, 	2.359301%
2020-04-07 22:42:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.81448242, 	97.88014, 	54.26, 	17.0723476, 	2.864877%, 	0.400000%, 	2.464877%
