2020-04-08 15:09:29, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	1.0, 	0.03324409, 	68.8428, 	0.481018%, 	0.350000%, 	0.131018%
2020-04-08 15:09:44, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	96.9416, 	0.03324099, 	98.4254, 	0.490389%, 	0.350000%, 	0.140389%
2020-04-08 15:09:59, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	96.9416, 	0.03323146, 	97.33728, 	0.519207%, 	0.350000%, 	0.169207%
2020-04-08 15:10:14, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	98.32648, 	0.03321799, 	68.8428, 	0.559968%, 	0.350000%, 	0.209968%
2020-04-08 15:10:29, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	193.75674962, 	0.03321397, 	68.8428, 	0.572139%, 	0.350000%, 	0.222139%
2020-04-08 15:10:44, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	97.83188, 	0.03321275, 	98.4254, 	0.575833%, 	0.350000%, 	0.225833%
2020-04-08 15:10:59, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	97.83188, 	0.03321275, 	98.4254, 	0.575833%, 	0.350000%, 	0.225833%
2020-04-08 15:11:14, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033404, 	98.02972, 	0.0332124, 	68.8428, 	0.576893%, 	0.350000%, 	0.226893%
2020-04-08 15:11:29, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.033176, 	97.23836, 	0.0332077, 	97.23836, 	-0.095460%, 	0.350000%, 	-0.445460%
2020-04-08 17:13:37, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03402284, 	68.68908, 	0.394323%, 	0.350000%, 	0.044323%
2020-04-08 17:13:52, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03402284, 	68.68908, 	0.394323%, 	0.350000%, 	0.044323%
2020-04-08 17:14:07, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03405423, 	126.39718906, 	0.301783%, 	0.350000%, 	-0.048217%
2020-04-08 17:30:53, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03402224, 	66.68419, 	0.396094%, 	0.350000%, 	0.046094%
2020-04-08 17:31:08, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03421298, 	2.68748606, 	-0.163622%, 	0.350000%, 	-0.513622%
2020-04-08 18:30:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034287, 	58.871, 	0.03415364, 	97.53512, 	0.390471%, 	0.350000%, 	0.040471%
2020-04-08 18:31:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034287, 	58.871, 	0.03414742, 	97.9308, 	0.408757%, 	0.350000%, 	0.058757%
2020-04-08 18:31:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034287, 	58.871, 	0.03414296, 	97.53512, 	0.421873%, 	0.350000%, 	0.071873%
2020-04-08 18:31:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034287, 	58.871, 	0.03413626, 	66.01132, 	0.441583%, 	0.350000%, 	0.091583%
2020-04-08 18:31:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034287, 	58.871, 	0.034129, 	251.94603427, 	0.462949%, 	0.350000%, 	0.112949%
2020-04-08 18:32:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	58.867, 	0.03412, 	66.01132, 	0.495311%, 	0.350000%, 	0.145311%
2020-04-08 18:32:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	58.867, 	0.03410574, 	66.01132, 	0.537329%, 	0.350000%, 	0.187329%
2020-04-08 18:32:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	58.867, 	0.03410184, 	252.12892782, 	0.548827%, 	0.350000%, 	0.198827%
2020-04-08 18:32:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	58.867, 	0.0340823, 	98.4254, 	0.606473%, 	0.350000%, 	0.256473%
2020-04-08 18:33:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	58.867, 	0.03406674, 	66.01132, 	0.652425%, 	0.350000%, 	0.302425%
2020-04-08 18:33:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	58.867, 	0.03406289, 	252.35338448, 	0.663802%, 	0.350000%, 	0.313802%
2020-04-08 18:33:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	85.014, 	0.03406211, 	66.01132, 	0.666107%, 	0.350000%, 	0.316107%
2020-04-08 18:33:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	85.014, 	0.03405827, 	66.01132, 	0.677457%, 	0.350000%, 	0.327457%
2020-04-08 18:34:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	85.014, 	0.03405219, 	252.3471238, 	0.695433%, 	0.350000%, 	0.345433%
2020-04-08 18:34:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034289, 	82.752, 	0.03405174, 	97.13944, 	0.696763%, 	0.350000%, 	0.346763%
2020-04-08 18:34:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034291, 	56.606, 	0.03405074, 	98.4254, 	0.705594%, 	0.350000%, 	0.355594%
2020-04-08 18:34:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034291, 	56.606, 	0.03404566, 	66.01132, 	0.720620%, 	0.350000%, 	0.370620%
2020-04-08 18:35:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.03429, 	27.706, 	0.0340456, 	66.01132, 	0.717861%, 	0.350000%, 	0.367861%
2020-04-08 18:35:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.03429, 	58.866, 	0.03405217, 	252.3842432, 	0.698428%, 	0.350000%, 	0.348428%
2020-04-08 18:35:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.03429, 	58.866, 	0.03405198, 	98.62324, 	0.698990%, 	0.350000%, 	0.348990%
2020-04-08 18:35:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.03429, 	58.866, 	0.03405147, 	97.63404, 	0.700498%, 	0.350000%, 	0.350498%
2020-04-08 18:36:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.03429, 	58.866, 	0.03404234, 	66.22875, 	0.727506%, 	0.350000%, 	0.377506%
2020-04-08 18:36:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034292, 	58.862, 	0.03403888, 	66.22875, 	0.743620%, 	0.350000%, 	0.393620%
2020-04-08 18:36:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034292, 	58.862, 	0.03403511, 	66.22875, 	0.754779%, 	0.350000%, 	0.404779%
2020-04-08 18:36:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034297, 	58.854, 	0.03403377, 	66.22875, 	0.773438%, 	0.350000%, 	0.423438%
2020-04-08 18:37:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03403356, 	98.32648, 	0.362701%, 	0.350000%, 	0.012701%
2020-04-08 18:37:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034159, 	59.092, 	0.03403037, 	98.32648, 	0.377986%, 	0.350000%, 	0.027986%
2020-04-08 18:37:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034159, 	59.092, 	0.03402684, 	97.04052, 	0.388399%, 	0.350000%, 	0.038399%
2020-04-08 18:37:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034161, 	59.088, 	0.03402662, 	97.53512, 	0.394926%, 	0.350000%, 	0.044926%
2020-04-08 18:38:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034161, 	59.088, 	0.03405594, 	96.64484, 	0.308492%, 	0.350000%, 	-0.041508%
2020-04-08 18:49:04, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034181, 	59.053, 	0.03398838, 	97.53512, 	0.566723%, 	0.350000%, 	0.216723%
2020-04-08 18:49:19, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034183, 	59.05, 	0.03396337, 	253.01250224, 	0.646667%, 	0.350000%, 	0.296667%
2020-04-08 18:49:34, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	0.961, 	0.03394495, 	66.28403, 	0.704228%, 	0.350000%, 	0.354228%
2020-04-08 18:49:49, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	59.048, 	0.03394268, 	98.62324, 	0.710963%, 	0.350000%, 	0.360963%
2020-04-08 18:50:04, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	59.048, 	0.03393953, 	97.9308, 	0.720311%, 	0.350000%, 	0.370311%
2020-04-08 18:50:19, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	59.048, 	0.03394373, 	66.28403, 	0.707848%, 	0.350000%, 	0.357848%
2020-04-08 18:50:34, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034186, 	85.266, 	0.03394372, 	97.04052, 	0.713770%, 	0.350000%, 	0.363770%
2020-04-08 18:50:49, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034186, 	85.266, 	0.0339437, 	97.53512, 	0.713829%, 	0.350000%, 	0.363829%
2020-04-08 18:51:04, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034188, 	59.041, 	0.03397272, 	66.28403, 	0.633685%, 	0.350000%, 	0.283685%
2020-04-08 18:51:19, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034189, 	59.04, 	0.03397286, 	66.28403, 	0.636214%, 	0.350000%, 	0.286214%
2020-04-08 18:51:34, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034187, 	59.043, 	0.03396914, 	66.28403, 	0.641347%, 	0.350000%, 	0.291347%
2020-04-08 18:51:49, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034186, 	24.219, 	0.03395815, 	66.28403, 	0.670973%, 	0.350000%, 	0.320973%
2020-04-08 18:52:04, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034186, 	24.219, 	0.03394543, 	66.28403, 	0.708696%, 	0.350000%, 	0.358696%
2020-04-08 18:52:19, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034186, 	22.219, 	0.0339371, 	98.32648, 	0.733416%, 	0.350000%, 	0.383416%
2020-04-08 18:52:34, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034186, 	81.263, 	0.03392909, 	97.04052, 	0.757197%, 	0.350000%, 	0.407197%
2020-04-08 18:52:50, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392754, 	97.23836, 	0.676324%, 	0.350000%, 	0.326324%
2020-04-08 18:53:05, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392657, 	98.62324, 	0.679202%, 	0.350000%, 	0.329202%
2020-04-08 18:53:20, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392563, 	97.83188, 	0.681992%, 	0.350000%, 	0.331992%
