2020-04-08 20:45:26, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:45:41, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:45:56, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:46:11, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:46:26, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:46:41, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:46:56, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:47:11, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:47:26, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:47:41, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:47:56, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:48:11, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:48:26, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:48:41, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
2020-04-08 20:48:56, 	Binance     , 	OKEX        , 	YOYOW/BTC, 	1.15e-06, 	121496.0, 	1.14e-06, 	1334.96, 	0.877193%, 	0.250000%, 	0.627193%
