2020-04-08 19:33:20, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6741.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:33:35, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6741.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:33:50, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:34:05, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:34:20, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:34:35, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:34:50, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:35:05, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:35:20, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:35:35, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:35:50, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:36:05, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:36:20, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:36:35, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:36:50, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:37:05, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:37:20, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:37:35, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:37:50, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:38:05, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:38:20, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:38:35, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:38:50, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
2020-04-08 19:39:05, 	Poloniex    , 	Binance     , 	STRAT/BTC, 	3.893e-05, 	6.2899104, 	3.881e-05, 	6703.0, 	0.309199%, 	0.190000%, 	0.119199%
